,Player Name,Team,Position,Assists,Bonus,Bonus Points System,Clean sheets,Cost,Creativity,Form,Goals conceded,Goals scored,ICT Index,Influence,Minutes played,Own goals,Penalties missed,Penalties saved,Points per match,Price fall,Price fall (round),Price rise,Price rise (round),Pts.,Red cards,Round points,Saves,Sel.,Threat,Times in Dream Team,Transfers in,Transfers in (round),Transfers out,Transfers out (round),Value (form),Value (season),Yellow cards, 
ChongMUNMID,Chong,MUN,MID,0.0,0.0,3.0,0.0,4.5,2.1,0.0,1.0,0.0,4.7,6.2,37.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3%,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ChoudhuryLEIMID,Choudhury,LEI,MID,0.0,0.0,80.0,4.0,4.5,73.7,0.0,4.0,0.0,24.6,119.6,593.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.6%,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ChristensenCHEDEF,Christensen,CHE,DEF,0.0,0.0,133.0,3.0,5.0,8.4,0.0,7.0,0.0,13.6,120.6,615.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.7%,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
ClarkNEWDEF,Clark,NEW,DEF,0.0,4.0,194.0,2.0,4.5,25.0,0.0,15.0,3.0,42.6,293.2,857.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.2%,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
ClarkeBHADEF,Clarke,BHA,DEF,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CleverleyWATMID,Cleverley,WAT,MID,0.0,2.0,87.0,3.0,5.0,33.4,0.0,7.0,1.0,17.2,97.4,470.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.1%,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
CoadyWOLDEF,Coady,WOL,DEF,0.0,6.0,585.0,9.0,5.0,26.2,0.0,46.0,0.0,61.8,593.2,3420.0,3.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,1.7%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
ColbackNEWMID,Colback,NEW,MID,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ColemanEVEDEF,Coleman,EVE,DEF,2.0,12.0,548.0,13.0,5.5,387.3,0.0,30.0,2.0,117.6,515.2,2558.0,1.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,3.7%,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
CorkBURMID,Cork,BUR,MID,2.0,0.0,446.0,8.0,5.0,309.7,0.0,63.0,1.0,104.3,491.4,3312.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.3%,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
CostaWOLMID,Costa,WOL,MID,2.0,0.0,136.0,5.0,5.0,264.0,0.0,19.0,1.0,70.9,162.8,1333.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0%,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
CresswellWHUDEF,Cresswell,WHU,DEF,1.0,0.0,257.0,1.0,5.0,290.9,0.0,26.0,0.0,72.3,318.2,1588.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.4%,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
CutroneWOLFWD,Cutrone,WOL,FWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CédricSOUDEF,Cédric,SOU,DEF,2.0,7.0,273.0,4.0,5.0,226.5,0.0,31.0,1.0,63.9,309.0,1493.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.3%,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
DahlbergWATGKP,Dahlberg,WAT,GKP,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DalotMUNDEF,Dalot,MUN,DEF,2.0,0.0,171.0,1.0,5.0,259.0,0.0,18.0,0.0,53.7,184.4,1009.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.3%,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
DanielsBOUDEF,Daniels,BOU,DEF,0.0,1.0,278.0,4.0,4.5,215.4,0.0,34.0,1.0,66.2,289.8,1583.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.1%,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
DaniloMCIDEF,Danilo,MCI,DEF,0.0,7.0,202.0,4.0,5.0,118.0,0.0,7.0,1.0,38.2,165.2,805.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.2%,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
DanjumaBOUMID,Danjuma,BOU,MID,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DannCRYDEF,Dann,CRY,DEF,1.0,0.0,129.0,2.0,4.5,22.5,0.0,10.0,0.0,28.1,186.2,661.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.3%,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
DarlowNEWGKP,Darlow,NEW,GKP,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DarmianMUNDEF,Darmian,MUN,DEF,0.0,2.0,83.0,1.0,5.0,34.9,0.0,8.0,0.0,12.6,84.2,443.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.1%,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
David LuizCHEDEF,David Luiz,CHE,DEF,2.0,19.0,794.0,16.0,6.0,358.7,0.0,36.0,3.0,158.0,859.0,3238.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,8.4%,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
David SilvaMCIMID,David Silva,MCI,MID,8.0,14.0,614.0,16.0,7.5,1150.3,0.0,14.0,6.0,295.8,715.2,2399.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,4.3%,1092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
DaviesEVEMID,Davies,EVE,MID,0.0,0.0,127.0,2.0,5.5,96.2,0.0,19.0,0.0,32.1,122.6,975.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.2%,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
DaviesTOTDEF,Davies,TOT,DEF,0.0,5.0,361.0,6.0,5.5,256.6,0.0,26.0,0.0,82.3,388.2,1837.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.3%,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
DavisAVLMID,Davis,AVL,MID,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DawsonWATDEF,Dawson,WAT,DEF,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
De BruyneMCIMID,De Bruyne,MCI,MID,3.0,8.0,268.0,6.0,9.5,562.3,0.0,3.0,2.0,117.9,301.4,968.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,15.5%,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
DeeneyWATFWD,Deeney,WAT,FWD,5.0,13.0,411.0,5.0,6.5,549.5,0.0,44.0,9.0,216.9,607.4,2542.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,116.0,1.0,0.0,0.0,3.5%,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
DefourBURMID,Defour,BUR,MID,0.0,0.0,70.0,0.0,5.5,36.6,0.0,14.0,0.0,9.9,61.4,449.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DelphEVEDEF,Delph,EVE,DEF,1.0,2.0,186.0,3.0,5.5,97.8,0.0,9.0,0.0,27.5,153.8,722.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,0.8%,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
DendonckerWOLMID,Dendoncker,WOL,MID,0.0,1.0,209.0,3.0,4.5,126.6,0.0,21.0,2.0,75.1,334.8,1465.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,14.3%,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
DeulofeuWATFWD,Deulofeu,WAT,FWD,5.0,10.0,344.0,9.0,6.5,455.6,0.0,29.0,10.0,185.6,549.2,2064.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,5.2%,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
DianganaWHUMID,Diangana,WHU,MID,1.0,0.0,86.0,2.0,4.5,174.5,0.0,13.0,0.0,46.2,115.0,600.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.2%,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DierTOTMID,Dier,TOT,MID,0.0,3.0,269.0,5.0,5.0,150.1,0.0,18.0,3.0,63.6,363.4,1504.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.2%,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
DigneEVEDEF,Digne,EVE,DEF,5.0,22.0,736.0,13.0,6.0,1142.0,0.0,38.0,4.0,232.7,883.0,2964.0,1.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,158.0,1.0,0.0,0.0,26.3%,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
DiopWHUDEF,Diop,WHU,DEF,0.0,6.0,561.0,7.0,4.5,52.3,0.0,43.0,1.0,94.8,733.0,2970.0,1.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,4.6%,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
DjenepoSOUMID,Djenepo,SOU,MID,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DohertyWOLDEF,Doherty,WOL,DEF,7.0,12.0,596.0,8.0,6.0,547.4,0.0,41.0,4.0,201.6,758.8,3141.0,1.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,2.6%,711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
DoucouréWATMID,Doucouré,WAT,MID,7.0,14.0,550.0,5.0,6.0,544.1,0.0,56.0,5.0,198.9,735.6,3061.0,1.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,3.6%,709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,
Douglas LuizAVLMID,Douglas Luiz,AVL,MID,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DreherCRYMID,Dreher,CRY,MID,0.0,0.0,3.0,0.0,4.5,0.6,0.0,0.0,0.0,0.1,0.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DrinkwaterCHEMID,Drinkwater,CHE,MID,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DrmicNORFWD,Drmic,NOR,FWD,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DubravkaNEWGKP,Dubravka,NEW,GKP,0.0,10.0,647.0,11.0,5.0,0.0,0.0,48.0,0.0,78.4,783.6,3420.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,131.0,0.0,0.0,96.0,1.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
DuffyBHADEF,Duffy,BHA,DEF,2.0,9.0,582.0,7.0,5.0,84.1,0.0,55.0,5.0,160.9,1024.4,3087.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,115.0,1.0,0.0,0.0,3.3%,499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
DuffySHUMID,Duffy,SHU,MID,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DummettNEWDEF,Dummett,NEW,DEF,0.0,3.0,365.0,7.0,4.5,94.0,0.0,27.0,0.0,57.6,424.2,1986.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.3%,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
DunkBHADEF,Dunk,BHA,DEF,1.0,6.0,573.0,7.0,4.5,132.9,0.0,56.0,2.0,118.7,805.8,3151.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,91.0,1.0,0.0,0.0,7.9%,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
EastwoodSHUGKP,Eastwood,SHU,GKP,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
EdersonMCIGKP,Ederson,MCI,GKP,1.0,6.0,700.0,20.0,6.0,33.0,0.0,23.0,0.0,56.8,535.2,3420.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,169.0,0.0,0.0,58.0,18.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
EganSHUDEF,Egan,SHU,DEF,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
El GhaziAVLMID,El Ghazi,AVL,MID,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
El MohamadyAVLDEF,El Mohamady,AVL,DEF,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ElnenyARSMID,Elneny,ARS,MID,0.0,0.0,59.0,0.0,4.5,76.7,0.0,5.0,0.0,22.7,86.6,377.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.5%,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ElyounoussiSOUMID,Elyounoussi,SOU,MID,0.0,0.0,91.0,4.0,5.5,228.3,0.0,10.0,0.0,54.2,94.2,785.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.1%,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
EmersonCHEDEF,Emerson,CHE,DEF,0.0,1.0,130.0,2.0,5.5,113.8,0.0,11.0,0.0,30.0,104.6,660.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.8%,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
EngelsAVLDEF,Engels,AVL,DEF,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
EriksenTOTMID,Eriksen,TOT,MID,12.0,15.0,675.0,8.0,9.0,1148.7,0.0,37.0,8.0,283.0,876.0,2770.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,6.5%,801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
EvansLEIDEF,Evans,LEI,DEF,0.0,3.0,418.0,8.0,5.0,66.1,0.0,26.0,1.0,68.5,460.0,1993.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.7%,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
FabianskiWHUGKP,Fabianski,WHU,GKP,0.0,15.0,742.0,7.0,5.0,20.0,0.0,55.0,0.0,115.5,1136.0,3420.0,0.0,0.0,1.0,3.8,0.0,0.0,0.0,0.0,143.0,0.0,0.0,148.0,5.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FabinhoLIVMID,Fabinho,LIV,MID,2.0,0.0,305.0,11.0,5.5,283.4,0.0,14.0,1.0,86.4,406.2,2011.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.9%,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
FahrmannNORGKP,Fahrmann,NOR,GKP,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Felipe AndersonWHUMID,Felipe Anderson,WHU,MID,6.0,18.0,619.0,7.0,7.0,1042.4,0.0,49.0,9.0,272.2,882.2,3045.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,10.5%,799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
FernandinhoMCIMID,Fernandinho,MCI,MID,3.0,4.0,444.0,12.0,5.5,396.8,0.0,15.0,1.0,114.2,534.6,2375.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,1.3%,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
FernándezNEWDEF,Fernández,NEW,DEF,2.0,5.0,277.0,3.0,4.5,63.7,0.0,24.0,0.0,48.5,350.0,1482.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.2%,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
FirminoLIVFWD,Firmino,LIV,FWD,8.0,24.0,647.0,19.0,9.5,670.1,0.0,15.0,12.0,267.8,774.8,2606.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,10.6%,1240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FleckSHUMID,Fleck,SHU,MID,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FodenMCIMID,Foden,MCI,MID,0.0,3.0,93.0,2.0,5.5,133.8,0.0,0.0,1.0,42.6,85.0,328.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.8%,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FornalsWHUMID,Fornals,WHU,MID,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ForsterSOUGKP,Forster,SOU,GKP,0.0,0.0,13.0,0.0,4.5,0.0,0.0,3.0,0.0,2.2,22.2,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FosterWATGKP,Foster,WAT,GKP,0.0,11.0,703.0,7.0,5.0,50.0,0.0,59.0,0.0,104.1,988.0,3420.0,0.0,0.0,1.0,3.4,0.0,0.0,0.0,0.0,129.0,0.0,0.0,128.0,3.3%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
FoythTOTDEF,Foyth,TOT,DEF,0.0,4.0,172.0,3.0,5.0,59.8,0.0,12.0,1.0,36.3,248.6,888.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,0.0%,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
FrancisBOUDEF,Francis,BOU,DEF,2.0,0.0,244.0,4.0,4.5,173.3,0.0,24.0,0.0,54.4,332.4,1227.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0%,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
FraserBOUMID,Fraser,BOU,MID,14.0,23.0,751.0,9.0,7.5,1382.4,0.0,64.0,7.0,301.2,930.6,3165.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,20.2%,696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
FredMUNMID,Fred,MUN,MID,2.0,3.0,180.0,1.0,5.5,203.2,0.0,19.0,1.0,46.9,177.6,1039.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.2%,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
FredericksWHUDEF,Fredericks,WHU,DEF,0.0,4.0,169.0,3.0,4.5,77.2,0.0,16.0,1.0,42.0,254.8,1084.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.4%,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
FreemanSHUDEF,Freeman,SHU,DEF,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FreemanSHUMID,Freeman,SHU,MID,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FuchsLEIDEF,Fuchs,LEI,DEF,0.0,0.0,38.0,0.0,4.5,85.6,0.0,5.0,0.0,14.9,50.4,206.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.4%,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GallagherSOUFWD,Gallagher,SOU,FWD,0.0,0.0,6.0,0.0,4.5,0.3,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GarnerMUNMID,Garner,MUN,MID,0.0,0.0,3.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GazzanigaTOTGKP,Gazzaniga,TOT,GKP,0.0,0.0,64.0,1.0,4.5,0.0,0.0,2.0,0.0,8.2,82.8,270.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,13.0,0.0,0.0,11.0,0.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GbaminEVEMID,Gbamin,EVE,MID,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
